code,description
4635,Carbonic acid gas manufacturing
2211,Carbonizing textile materials
3581,Carburetor manufacturing
4239,Cardboard bristol board and paperboard manufacturing
4279,Cardboard mailing tube manufacturing
9186,"Carnival, circus or amusement device operator-traveling-all employees"
5403,Carpentry NOC
5645,Carpentry-detached one- or two-family dwellings
5437,Carpentry-door installation-extensive finishing
5403,Carpentry-door installation-pre-hung
5651,Carpentry-dwellings-three stories or less
5437,Carpentry-installation of cabinet work or interior trim
5437,Carpentry-installation of finished wooden flooring
2802,Carpentry-shop only-
5478,Carpet installation
2220,Carpet lining manufacturing from woven fibers
2402,Carpet or rug manufacturing NOC
2220,Carpet or rug manufacturing-jute or hemp
4410,Carpet pad manufacturing-rubber
5478,"Carpet, linoleum, vinyl, asphalt, and rubber floor tile installation"
2585,"Carpet, rug or upholstery cleaning-shop or outside"
8017,"Carpet, rug, linoleum store-retail"
8018,"Carpet, rug, linoleum store-wholesale"
3808,Carriage or wagon manufacturing or assembly
5183,Carrier system-pneumatic-installation or repair
3574,Cash register manufacturing
5191,"Cash register-installation, service or repair"
9044,"Casino gambling hotel: all employees & clerical, salespersons, drivers"
9062,"Casino gambling: all employees & clerical, salespersons, drivers"
2881,Cask assembly
3076,Casket or coffin manufacturing or assembly-metal
2881,Casket or coffin manufacturing or assembly-wood
9522,Casket or coffin upholstering and burial garment manufacturing
4431,"Cassettes-magnetic media, manufacture or assembly"
3085,Casting manufacturing for others-using non-ferrous metal
3336,Castings manufacturing-metal-by lost wax process
2111,Cat food manufacturing-canning operation
4133,Cathedral or art glass window manufacturing
4112,Cathode-ray tube manufacturing
6504,Catsup manufacturing
8288,"Cattle dealer & salespersons, drivers"
4558,Caulking compound manufacturing
5213,Caulking-with pressure gun
1164,Cave expansion-
9016,"Caves or caverns-operation for exhibition purposes-including guides, ticket sellers, gate attendants, maintenance employees"
1164,Caves-excavation of new areas for exhibition purposes-
2883,Cedar chest manufacturing
5020,Ceiling installation-suspended acoustical grid type
5409,Ceilings-suspended or cemented-installation
8292,Cement (dry) storage warehouse
5022,Cement block erection
4410,Cement compound manufacturing-rubber
1701,Cement manufacturing
1624,Cement rock quarry-
9220,Cemetery operation
9220,"Cemetery removal-opening graves, removing and reinterring remains,"
4062,"Ceramic goods manufacturing-spark plug cores, spools, pulleys"
4061,Ceramics manufacturing
2016,Cereal manufacturing
9402,Cesspool cleaning-specialist contractors-
3110,Chain manufacturing-forged
3257,Chain manufacturing-formed or welded from wire
3146,Chain manufacturing-roll or drive-type
2881,Chair assembling-wood
1165,Chalk-surface mining-
3180,Chandelier manufacturing
8018,Charcoal dealers-wholesale-packaged
1472,Charcoal manufacturing
8837,"Charitable or welfare organization-all operations  (AK, CO, GA, MA, OR, WI)"
9110,Charitable or welfare organization-all other employees
8861,Charitable or welfare organization-professional employees & clerical
7038,Chartered fishing boat-less than 15 tons-Program I
7090,Chartered fishing boat-less than 15 tons-Program II-State Act
7050,Chartered fishing boat-less than 15 tons-Program II-USL Act
7380,Chauffeurs & helpers NOC-commercial-
8810,Check cashing store
2070,"Cheese or butter manufacturing & route supervisors, drivers"
4828,Chemical blending or mixing NOC-all operations and drivers
4829,Chemical manufacturing NOC-all operations
3373,Chemical milling
9403,Chemical waste disposal
2402,Chenille carpet manufacturing
2220,Chenille cloth manufacturing
2501,Chenille products manufacturing from chenille cloth-no carpet or cloth manufacturing
2041,Chewing gum manufacturing
0034,Chicken catchers-
9059,Child day camp-all other employees and drivers
8869,"Child day camp-professional employees and clerical, salespersons"
9059,Child day care center-all other employees and drivers
8869,"Child day care center-professional employees and clerical, salespersons"
5222,Chimney cleaning-industrial smoke stacks
9014,Chimney cleaning-residence-by vacuum suction
5222,Chimney construction-not metal (commercial)
5022,Chimney construction-one- or two-story residences
4352,China decorating-by hand
0170,Chinchilla raising-
2710,Chip harvester operation-portable or permanent
4239,Chip or particleboard manufacturing
2041,Chocolate or cocoa manufacturing
5190,Christmas or holiday decorations-street or outside-
0106,Christmas tree harvesting exclusively-
2534,Christmas tree manufacturing-aluminum
0005,"Christmas tree planting, cultivating and harvesting-"
2156,Cider bottling-
2143,Cider manufacturing
3315,Cigar and cigarette lighter manufacturing or assembling
2172,Cigar manufacturing
2172,Cigarette filter manufacturing
2172,Cigarette manufacturing
8232,Cinder dealers-
3681,Circuit board manufacturing
9186,"Circus, carnival or amusement device operator-traveling-all employees"
8742,Claim adjusters or special agents-insurance co.
2114,Clam digging
4061,Clay flower pot manufacturing-hand molded or cast
4062,Clay flower pot manufacturing-press formed
1747,Clay milling-
1164,Clay mining-underground-
4000,Clay or shale digging
4021,Clay products or brick manufacturing NOC
4902,Clay target manufacturing-for skeet shooting
5538,Clean air rooms-sheet metal-shop and installation-
5610,Cleaner-debris removal
5474,"Cleaning building interiors, machinery & equipment using spray apparatus-"
2586,"Cleaning or dyeing & route supervisors, drivers"
2582,Cleaning or dyeing collecting or distributing station
5213,Cleaning or renovating building exteriors
5610,Cleaning railroad freight cars-not tank
3726,Cleaning tanks or tank cars
8810,Clerical office employees NOC
8814,Clerical office employees NOC-Program I
8805,Clerical office employees NOC-Program II-State Act
8815,Clerical office employees NOC-Program II-USL Act
8871,Clerical telecommuter employees
8103,Clippings dealer
2881,Clock assembly to wood base
3385,Clock manufacturing
3385,Clock repair-not jewelry store
2417,Cloth printing
8032,"Cloth sponging, shrinking, inspection or mending"
5057,Clothes dryers-metal-erection on roofs
9521,Clothes dryers-wood-installation in apartments
5403,Clothes pole erection-wood
2501,Clothing manufacturing
8032,"Clothing-mail order sales, wholesale or retail"
8279,Club hunting-no shooting
9060,"Club-country, golf, fishing or yacht-& clerical"
9061,Club-NOC
9061,Club-NOC & clerical
9077,Club-officers & enlisted personnel-military base
9061,Clubs-beach & clerical
9063,Clubs-health & clerical
9061,"Club-social, fraternal or business-operating on own premises or facilities & clerical"
8279,Clubs-riding
9180,Clubs-shooting
9060,Clubs-ski & clerical
9061,Clubs-social & clerical
9063,"Clubs-tennis, racquetball or handball-indoor"
9060,"Clubs-tennis, racquetball or handball-outdoor"
1463,Coal billet or briquette manufacturing
7313,Coal dock operation & stevedoring
8233,"Coal merchant & local managers, drivers"
1016,Coal mining-NOC
1005,Coal mining-surface-
3257,Coat hanger manufacturing-metal
